Level,Split,Generation Time,Validated,Total,Validation Time,Total Time,Expected Pool,Expected Validation Time,,,,,,,,,,,
1,[1],4.05E-06,6,60,0.000110388,0.000114441,60,,,,,,,,,,,,
2,"[1, 1]",5.96E-06,31,1770,0.003566504,0.003572464,,,,,,,,,,,,,
2,[2],0.001231909,31,311,0.000681639,0.001913548,311,,,,,,,,,,,,
3,"[1, 1, 1]",1.12E-05,81,34220,0.084327936,0.084339142,,,,,,,,,,,,,
3,"[2, 1]",0.001160383,81,18660,0.049610615,0.050770998,,,,,,,,,,,,,
3,[3],0.051152229,81,2228,0.005854607,0.057006836,2228,,,,,,,,,,,,
4,"[1, 1, 1, 1]",4.34E-05,378,487635,1.518149137,1.51819253,,,,,,,,,,,,,
4,"[2, 1, 1]",0.001000166,378,550470,1.731326818,1.732326984,,,,,,,,,,,,,
4,"[3, 1]",0.050537109,378,133680,0.420514584,0.471051693,,,,,,,,,,,,,
4,[4],4.05966258,355,17794,0.059393644,4.119056225,17794,,,,,,,,,,,,
5,"[1, 1, 1, 1, 1]",0.000427246,1324,5461512,21.29998112,21.30040836,,,,,,,,,,,,,
5,"[2, 2, 1]",0.003194094,1324,2892300,10.81561899,10.81881309,,,,,,,,,,,,,
5,"[3, 1, 1]",0.051338196,1324,3943560,14.91028666,14.96162486,,,,,,,,,,,,,
5,"[4, 1]",4.046015501,1239,1067640,4.1690979,8.215113401,,,,,,,,,,,,,
6,"[1, 1, 1, 1, 1, 1]",,,,,,50063860,,,,,,,,,,,,
6,"[2, 2, 1, 1]",,,,,,,,,,,,,,,,,,
6,"[3, 2, 1]",,,,,,,,,,,,,,,,,,
6,"[4, 1, 1]",,,,,,,,,,,,,,,,,,
7,"[1, 1, 1, 1, 1, 1, 1]",,,,,,386206920,,,,,,,,,,,,
7,"[2, 2, 2, 1]",,,,,,,,,,,,,,,,,,
7,"[3, 2, 1, 1]",,,,,,,,,,,,,,,,,,
7,"[3, 3, 1]",,,,,,,,,,,,,,,,,,
7,"[4, 2, 1]",,,,,,,,,,,,,,,,,,
8,"[1, 1, 1, 1, 1, 1, 1, 1]",,,,,,2558620845,,,,,,,,,,,,
8,"[2, 2, 2, 1, 1]",,,,,,,,,,,,,,,,,,
8,"[3, 2, 2, 1]",,,,,,,,,,,,,,,,,,
8,"[3, 3, 1, 1]",,,,,,,,,,,,,,,,,,
8,"[4, 2, 1, 1]",,,,,,,,,,,,,,,,,,
8,"[4, 3, 1]",,,,,,,,,,,,,,,,,,
9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",,,,,,14783142660,,,,,, ,,,,,,
9,"[2, 2, 2, 2, 1]",,,,,,,,,,,,,,,,,,
9,"[3, 2, 2, 1, 1]",,,,,,,,,,,,,,,,,,  
9,"[3, 3, 2, 1]",,,,,,,,,,,,,,,,,,
9,"[4, 2, 2, 1]",,,,,,,,,,,,,,,,,,
9,"[4, 3, 1, 1]",,,,,,,,,,,,,,,,,,
9,"[4, 4, 1]",,,,,,,,,,,,,,,,,,
